class_id,labels,scientific_name
258,GREAT XENOPS,MEGAXENOPS PARNAGUAE
259,GREATER PEWEE,CONTOPUS PERTINAX
260,GREATER PRAIRIE CHICKEN,TYMPANUCHUS CUPIDO
261,GREATOR SAGE GROUSE,CENTROCERCUS UROPHASIANUS
262,GREEN BROADBILL,CALYPTOMENA VIRIDIS
263,GREEN JAY,CYANOCORAX YNCAS
264,GREEN MAGPIE,CISSA CHINENSIS
265,GREEN WINGED DOVE,CHALCOPHAPS INDICA
266,GREY CUCKOOSHRIKE,CORACINA CAESIA
267,GREY HEADED CHACHALACA,ORTALIS CINEREICEPS
268,GREY HEADED FISH EAGLE,ICHTHYOPHAGA ICHTHYAETUS
269,GREY PLOVER,PLUVIALIS SQUATAROLA
270,GROVED BILLED ANI,CROTOPHAGA SULCIROSTRIS
271,GUINEA TURACO,TAURACO PERSA
272,GUINEAFOWL,NUMIDIDAE
273,GURNEYS PITTA,HYDRORNIS GURNEYI
274,GYRFALCON,FALCO RUSTICOLUS
275,HAMERKOP,SCOPUS UMBRETTA
276,HARLEQUIN DUCK,HISTRIONICUS HISTRIONICUS
277,HARLEQUIN QUAIL,COTURNIX DELEGORGUEI
278,HARPY EAGLE,HARPIA HARPYJA
279,HAWAIIAN GOOSE,BRANTA SANDVICENSIS
280,HAWFINCH,COCCOTHRAUSTES COCCOTHRAUSTES
281,HELMET VANGA,EURYCEROS PREVOSTII
282,HEPATIC TANAGER,PIRANGA FLAVA
283,HIMALAYAN BLUETAIL,TARSIGER RUFILATUS
284,HIMALAYAN MONAL,LOPHOPHORUS IMPEJANUS
285,HOATZIN,OPHISTHOCOMUS HOAZIN
286,HOODED MERGANSER,LOPHODYTES CUCULLATUS
287,HOOPOES,UPUPIDAE
288,HORNED GUAN,OREOPHASIS DERBIANUS
289,HORNED LARK,EREMOPHILA ALPESTRIS
290,HORNED SUNGEM,HELIACTIN BILOPHUS
291,HOUSE FINCH,HAEMORHOUS MEXICANUS
292,HOUSE SPARROW,PASSER DOMESTICUS
293,HYACINTH MACAW,ANODORHYNCHUS HYACINTHINUS
294,IBERIAN MAGPIE,CYANOPICA COOKI
295,IBISBILL,IBIDORHYNCHA STRUTHERSII
296,IMPERIAL SHAQ,LEUCOCARBO ATRICEPS
297,INCA TERN,LAROSTERNA INCA
298,INDIAN BUSTARD,ARDEOTIS NIGRICEPS
299,INDIAN PITTA,PITTA BRACHYURA
300,INDIAN ROLLER,CORACIAS BENGHALENSIS
301,INDIAN VULTURE,GYPS INDICUS
302,INDIGO BUNTING,PASSERINA CYANEA
303,INDIGO FLYCATCHER,EUMYIAS INDIGO
304,INLAND DOTTEREL,CHARADRIUS AUSTRALIS
305,IVORY BILLED ARACARI,PTEROGLOSSUS AZARA
306,IVORY GULL,PAGOPHILA EBURNEA
307,IWI, VESTIARIA COCCINEA.
308,JABIRU,JABIRU MYCTERIA
309,JACK SNIPE,LYMNOCRYPTES MINIMUS
310,JACOBIN PIGEON,COLUMBA LIVIA
311,JANDAYA PARAKEET,ARATINGA JANDAYA
312,JAPANESE ROBIN,ERITHACUS AKAHIGE
313,JAVA SPARROW,LONCHURA ORYZIVORA
314,JOCOTOCO ANTPITTA,GRALLARIA RIDGELYI
315,KAGU,RHYNOCHETOS JUBATUS
316,KAKAPO,STRIGOPS HABROPTILUS
317,KILLDEAR,CHARADRIUS VOCIFERUS
318,KING EIDER,SOMATERIA SPECTABILIS
319,KING VULTURE,SARCORAMPHUS PAPA
320,KIWI,APTERYX
321,KNOB BILLED DUCK,SARKIDIORNIS MELANOTOS
322,KOOKABURRA,DACELO
323,LARK BUNTING,CALAMOSPIZA MELANOCORYS
324,LAUGHING GULL,LEUCOPHAEUS ATRICILLA
325,LAZULI BUNTING,PASSERINA AMOENA
326,LESSER ADJUTANT,LEPTOPTILOS JAVANICUS
327,LILAC ROLLER,CORACIAS CAUDATUS
328,LIMPKIN,ARAMUS GUARAUNA
329,LITTLE AUK,ALLE ALLE
330,LOGGERHEAD SHRIKE,LANIUS LUDOVICIANUS
331,LONG-EARED OWL,ASIO OTUS
332,LOONEY BIRDS,LUNATICUS AMERICONIS
333,LUCIFER HUMMINGBIRD,CALOTHORAX LUCIFER
334,MAGPIE GOOSE,ANSERANAS SEMIPALMATA
335,MALABAR HORNBILL,OCYCEROS GRISEUS
336,MALACHITE KINGFISHER,CORYTHORNIS CRISTATUS
337,MALAGASY WHITE EYE,ZOSTEROPS MADERASPATANUS
338,MALEO,MACROCEPHALON MALEO
339,MALLARD DUCK,ANAS PLATYRHYNCHOS
340,MANDRIN DUCK,AIX GALERICULATA
341,MANGROVE CUCKOO,COCCYZUS MINOR
342,MARABOU STORK,LEPTOPTILOS CRUMENIFER
343,MASKED BOBWHITE,COLINUS VIRGINIANUS RIDGWAYI
344,MASKED BOOBY,SULA DACTYLATRA
345,MASKED LAPWING,VANELLUS MILES
346,MCKAYS BUNTING,PLECTROPHENAX HYPERBOREUS
347,MERLIN,FALCO COLUMBARIUS
348,MIKADO  PHEASANT,SYRMATICUS MIKADO
349,MILITARY MACAW,ARA MILITARIS
350,MOURNING DOVE,ZENAIDA MACROURA
351,MYNA,ACRIDOTHERES TRISTIS
352,NICOBAR PIGEON,CALOENAS NICOBARICA
353,NOISY FRIARBIRD,PHILEMON CORNICULATUS
354,NORTHERN BEARDLESS TYRANNULET,CAMPTOSTOMA IMBERBE
355,NORTHERN CARDINAL,CARDINALIS CARDINALIS
356,NORTHERN FLICKER,COLAPTES AURATUS
357,NORTHERN FULMAR,FULMARUS GLACIALIS
358,NORTHERN GANNET,MORUS BASSANUS
359,NORTHERN GOSHAWK,ACCIPITER GENTILIS
360,NORTHERN JACANA,JACANA SPINOSA
361,NORTHERN MOCKINGBIRD,MIMUS POLYGLOTTOS
362,NORTHERN PARULA,SETOPHAGA AMERICANA
363,NORTHERN RED BISHOP,EUPLECTES FRANCISCANUS
364,NORTHERN SHOVELER,SPATULA CLYPEATA
365,OCELLATED TURKEY,MELEAGRIS OCELLATA
366,OILBIRD,STEATORNIS CARIPENSIS
367,OKINAWA RAIL,GALLIRALLUS OKINAWAE
368,ORANGE BREASTED TROGON,HARPACTES ORESKIOS
369,ORANGE BRESTED BUNTING,PASSERINA LECLANCHERII
370,ORIENTAL BAY OWL,PHODILUS BADIUS
371,ORNATE HAWK EAGLE,SPIZAETUS ORNATUS
372,OSPREY,PANDION HALIAETUS
373,OSTRICH,STRUTHIO CAMELUS
374,OVENBIRD,SEIURUS AUROCAPILLA
375,OYSTER CATCHER,HAEMATOPUS
376,PAINTED BUNTING,PASSERINA CIRIS
377,PALILA,LOXIOIDES BAILLEUI
378,PALM NUT VULTURE,GYPOHIERAX ANGOLENSIS
379,PARADISE TANAGER,TANGARA CHILENSIS
380,PARAKETT  AKULET,AETHIA PSITTACULA
381,PARUS MAJOR,PARUS MAJOR
382,PATAGONIAN SIERRA FINCH,PHRYGILUS PATAGONICUS
383,PEACOCK,PAVO CRISTATUS
384,PEREGRINE FALCON,FALCO PEREGRINUS
385,PHAINOPEPLA,PHAINOPEPLA NITENS
386,PHILIPPINE EAGLE,PITHECOPHAGA JEFFERYI
387,PINK ROBIN,PETROICA RODINOGASTER
388,PLUSH CRESTED JAY,CYANOCORAX CHRYSOPS
389,POMARINE JAEGER,STERCORARIUS POMARINUS
390,PUFFIN,FRATERCULA
391,PUNA TEAL,ANAS PUNA
392,PURPLE FINCH,HAEMORHOUS PURPUREUS
393,PURPLE GALLINULE,PORPHYRIO MARTINICUS
394,PURPLE MARTIN,PROGNE SUBIS
395,PURPLE SWAMPHEN,PORPHYRIO PORPHYRIO
396,PYGMY KINGFISHER,ISPIDINA PICTA
397,PYRRHULOXIA,CARDINALIS SINUATUS
398,QUETZAL,PHAROMACHRUS MOCINNO
399,RAINBOW LORIKEET,TRICHOGLOSSUS MOLUCCANUS
400,RAZORBILL,ALCA TORDA
401,RED BEARDED BEE EATER,NYCTYORNIS AMICTUS
402,RED BELLIED PITTA,PITTA ERYTHROGASTER
403,RED BILLED TROPICBIRD,PHAETHON AETHEREU
404,RED BROWED FINCH,NEOCHMIA TEMPORALIS
405,RED CROSSBILL,LOXIA CURVIROSTRA
406,RED FACED CORMORANT,PHALACROCORAX URILE
407,RED FACED WARBLER,CARDELLINA RUBRIFRONS
408,RED FODY,FOUDIA MADAGASCARIENSIS
409,RED HEADED DUCK,AYTHYA AMERICANA
410,RED HEADED WOODPECKER,MELANERPES ERYTHROCEPHALUS
411,RED KNOT,CALIDRIS CANUTUS
412,RED LEGGED HONEYCREEPER,CYANERPES CYANEUS
413,RED NAPED TROGON,HARPACTES KASUMBA
414,RED SHOULDERED HAWK,BUTEO LINEATUS
415,RED TAILED HAWK,BUTEO JAMAICENSIS
416,RED TAILED THRUSH,NEOCOSSYPHUS RUFUS
417,RED WINGED BLACKBIRD,AGELAIUS PHOENICEUS
418,RED WISKERED BULBUL,PYCNONOTUS JOCOSUS
419,REGENT BOWERBIRD,SERICULUS CHRYSOCEPHALUS
420,RING-NECKED PHEASANT,PHASIANUS COLCHICUS
421,ROADRUNNER,GEOCOCCYX
422,ROCK DOVE,COLUMBA LIVIA
423,ROSE BREASTED COCKATOO,EOLOPHUS ROSEICAPILLA
424,ROSE BREASTED GROSBEAK,PHEUCTICUS LUDOVICIANUS
425,ROSEATE SPOONBILL,PLATALEA AJAJA
426,ROSY FACED LOVEBIRD,AGAPORNIS ROSEICOLLIS
427,ROUGH LEG BUZZARD,BUTEO LAGOPUS
428,ROYAL FLYCATCHER,ONYCHORHYNCHUS
429,RUBY CROWNED KINGLET,REGULUS CALENDULA
430,RUBY THROATED HUMMINGBIRD,ARCHILOCHUS COLUBRIS
431,RUDDY SHELDUCK,TADORNA FERRUGINEA
432,RUDY KINGFISHER,HALCYON COROMANDA
433,RUFOUS KINGFISHER,CHLOROCERYLE INDA
434,RUFOUS TREPE,DENDROCITTA VAGABUNDA
435,RUFUOS MOTMOT,BARYPHTHENGUS MARTII
436,SAMATRAN THRUSH,MYOPHONUS CASTANEUS
437,SAND MARTIN,RIPARIA RIPARIA
438,SANDHILL CRANE,GRUS CANADENSIS
439,SATYR TRAGOPAN,TRAGOPAN SATYRA
440,SAYS PHOEBE,SAYORNIS SAYA
441,SCARLET CROWNED FRUIT DOVE,PTILINOPUS INSULARIS
442,SCARLET FACED LIOCICHLA,LIOCICHLA RIPPONI
443,SCARLET IBIS,EUDOCIMUS RUBER
444,SCARLET MACAW,ARA MACAO
445,SCARLET TANAGER,PIRANGA OLIVACEA
446,SHOEBILL,BALAENICEPS REX
447,SHORT BILLED DOWITCHER,LIMNODROMUS GRISEUS
448,SMITHS LONGSPUR,CALCARIUS PICTUS
449,SNOW GOOSE,ANSER CAERULESCENS
450,SNOW PARTRIDGE,LERWA LERWA
451,SNOWY EGRET,EGRETTA THULA
452,SNOWY OWL,BUBO SCANDIACUS
453,SNOWY PLOVER,CHARADRIUS NIVOSUS
454,SNOWY SHEATHBILL,CHIONIS ALBUS
455,SORA,PORZANA CAROLINA
456,SPANGLED COTINGA,COTINGA CAYANA
457,SPLENDID WREN,MALURUS SPLENDENS
458,SPOON BILED SANDPIPER,CALIDRIS PYGMAEA
459,SPOTTED CATBIRD,AILUROEDUS MACULOSUS
460,SPOTTED WHISTLING DUCK,DENDROCYGNA GUTTATA
461,SQUACCO HERON,ARDEOLA RALLOIDES
462,SRI LANKA BLUE MAGPIE,UROCISSA ORNATA
463,STEAMER DUCK,TACHYERES
464,STORK BILLED KINGFISHER,PELARGOPSIS CAPENSIS
465,STRIATED CARACARA,PHALCOBOENUS AUSTRALIS
466,STRIPED OWL,ASIO CLAMATOR
467,STRIPPED MANAKIN,MACHAEROPTERUS REGULUS
468,STRIPPED SWALLOW,CECROPIS ABYSSINICA
469,SUNBITTERN, EURYPYGA HELIAS
470,SUPERB STARLING,LAMPROTORNIS SUPERBUS
471,SURF SCOTER,MELANITTA PERSPICILLATA
472,SWINHOES PHEASANT,LOPHURA SWINHOII
473,TAILORBIRD,ORTHOTOMUS ATROGULARIS
474,TAIWAN MAGPIE,UROCISSA CAERULEA
475,TAKAHE,PORPHYRIO HOCHSTETTERI
476,TASMANIAN HEN,TRIBONYX MORTIERII
477,TAWNY FROGMOUTH,PODARGUS STRIGOIDES
478,TEAL DUCK,ANAS CRECCA
479,TIT MOUSE,PARIDAE
480,TOUCHAN,RAMPHASTIDAE
481,TOWNSENDS WARBLER,SETOPHAGA TOWNSENDI
482,TREE SWALLOW,TACHYCINETA BICOLOR
483,TRICOLORED BLACKBIRD,AGELAIUS TRICOLOR
484,TROPICAL KINGBIRD,TYRANNUS MELANCHOLICUS
485,TRUMPTER SWAN,CYGNUS BUCCINATOR
486,TURKEY VULTURE,CATHARTES AURA
487,TURQUOISE MOTMOT,EUMOMOTA SUPERCILIOSA
488,UMBRELLA BIRD,CEPHALOPTERUS
489,VARIED THRUSH,IXOREUS NAEVIUS
490,VEERY,CATHARUS FUSCESCENS
491,VENEZUELIAN TROUPIAL,ICTERUS ICTERUS
492,VERDIN,AURIPARUS FLAVICEPS
493,VERMILION FLYCATHER,PYROCEPHALUS OBSCURUS
494,VICTORIA CROWNED PIGEON,GOURA VICTORIA
495,VIOLET BACKED STARLING,CINNYRICINCLUS LEUCOGASTER
496,VIOLET CUCKOO, CHRYSOCOCCYX XANTHORHYNCHUS
497,VIOLET GREEN SWALLOW,TACHYCINETA THALASSINA
498,VIOLET TURACO,MUSOPHAGA VIOLACEA
499,VISAYAN HORNBILL,PENELOPIDES PANINI
500,VULTURINE GUINEAFOWL,ACRYLLIUM VULTURINUM
501,WALL CREAPER,TICHODROMA MURARIA
502,WATTLED CURASSOW,CRAX GLOBULOSA
503,WATTLED LAPWING,VANELLUS INDICUS
504,WHIMBREL,NUMENIUS PHAEOPUS
505,WHITE BREASTED WATERHEN,AMAURORNIS PHOENICURUS
506,WHITE BROWED CRAKE,AMAURORNIS CINEREA
507,WHITE CHEEKED TURACO,TAURACO LEUCOTIS
508,WHITE CRESTED HORNBILL,TROPICRANUS ALBOCRISTATUS
509,WHITE EARED HUMMINGBIRD,BASILINNA LEUCOTIS
510,WHITE NECKED RAVEN,CORVUS ALBICOLLIS
511,WHITE TAILED TROPIC,PHAETHON LEPTURUS
512,WHITE THROATED BEE EATER,MEROPS ALBICOLLIS
513,WILD TURKEY,MELEAGRIS GALLOPAVO
514,WILLOW PTARMIGAN,LAGOPUS LAGOPUS
515,WILSONS BIRD OF PARADISE,CICINNURUS RESPUBLICA
516,WOOD DUCK,AIX SPONSA
517,WOOD THRUSH,HYLOCICHLA MUSTELINA
518,WOODLAND KINGFISHER,HALCYON SENEGALENSIS
519,WRENTIT,CHAMAEA FASCIATA
520,YELLOW BELLIED FLOWERPECKER,DICAEUM MELANOXANTHUM
521,YELLOW BREASTED CHAT,ICTERIA VIRENS
522,YELLOW CACIQUE,CACICUS CELA
523,YELLOW HEADED BLACKBIRD,XANTHOCEPHALUS
524,ZEBRA DOVE,GEOPELIA STRIATA
